file,caption,md5,referenced in
CD61_FITC/Spleen_CD61_FITC_Miltenyi_130-098-683_CD163_AF532_BioLegend_333602.jpeg,"Human spleen: CD163 (magenta, based on catalog number 333602) and CD61 (green, catalog number 130-098-683)",6b8337ad0a9226c18f94898abd08ae81,['CD61_FITC/0000-0002-3882-457X.md']
CD4_AF647/Mouse_Tumor_Brain_Hochest_Blue_mCherry_green_Novus_NBP2_25158_CD4_Magenta_Biolegend_100533.jpg,"Mouse Brain Tumor Hochest (Blue) mCherry (green, Novus #NBP2-25158 ) CD4 (Magenta, Biolegend #100533)",be13bd21d16b14d209fd03e85510d9d9,['CD4_AF647/0000-0002-6944-6997.md']
CD4_AF647/Mouse_Spleen_Hochest_Blue_CD4_Magenta_Biolegend_100533.jpg,Mouse Spleen Hochest (Blue) CD4 (Magenta Biolegend #100533),330efb482830b582f02c15d7efa74261,['CD4_AF647/0000-0002-6944-6997.md']
CD4_AF647/Human_LN_CD4_CD31.jpg,"Human lymph node: CD4 (cyan, catalog number 300520) and CD31 (magenta, catalog number 303106)",2f6c5985cd4aa33f363273eae2c8a371,"['CD31_PE/0000-0003-4379-8967.md', 'CD4_AF647/0000-0003-4379-8967.md']"
CD21_PE/CD21_PE_FL_pH6.jpg,"Human follicular lymphoma FFPE : CD21 (yellow, catalog number ab306325) Antigen retrieval, pH 6",80f4e3ba053a3db70684f15a87ab6d77,['CD21_PE/0000-0003-4379-8967.md']
CD21_PE/CD21_PE_FL_pH6and9.jpg,"Human follicular lymphoma FFPE : CD21 (yellow, catalog number ab306325) Antigen retrieval, pH 6 and pH 9",55b888cc93bfc17ff9127b3427008049,['CD21_PE/0000-0003-4379-8967.md']
CD38_AF700/Human_LN_CD38_Clec9a.jpg,"Human lymph node: CD38 (blue, catalog number 303524) and Clec9a (magenta, based on catalog number 353802)",5ad2c7c63c202dfdc759be11afe06b93,"['CD38_AF700/0000-0003-4379-8967.md', 'CLEC9a_AF488/0000-0003-4379-8967.md']"
CD35_PE/Human_LN_CD117_CD66b_CD35.jpg,"Human lymph node: CD35 (blue, catalog number 333406), CD117 (yellow, catalog number 313234), and CD66b (magenta, catalog number 305110)",7ce7685797c87f993c35f7612bc741f4,"['CD35_PE/0000-0003-4379-8967.md', 'CD117_AF488/0000-0003-4379-8967.md']"
CXCL13_AF532/CXCL13_RD_AF801_Lumican_RD_AF2846.jpg,"Human lymph node: CXCL13 (blue, catalog number AF801) and Lumican (magenta, catalog number AF2846)",5f9087e1d24d194ca0c55aba68a6f4af,"['Lumican_AF532/0000-0003-4379-8967.md', 'CXCL13_AF532/0000-0003-4379-8967.md']"
PD-1_AF555/PD1_AF555_FL_Lymph_Node.jpg,"Human FFPE follicular lymphoma lymph node: CTLA-4 (yellow, catalog number ab270127 and PD-1 (cyan, catalog number ab275126)",9ebcdbd235a16d0a9b23fe387c0c02ac,"['PD-1_AF555/0000-0003-4379-8967.md', 'HLA-DR_AF488/0000-0003-4379-8967.md', 'CTLA4_AF647/0000-0003-4379-8967.md']"
